county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,1
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,86
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,33
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,5
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,3
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Marengo,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,99
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,67
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,3
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,20
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,1
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Morse,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,38
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,34
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,4
