county,county_fips,mcd_fips,municipality,ctv,year,office,party,candidate,votes,total_votes
ADAMS,55001,5500107300,BIG FLATS,T,2018,SUPREME COURT,SCATTERING,SCATTERING,0,159
ADAMS,55001,5500107300,BIG FLATS,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,114,227
ADAMS,55001,5500107300,BIG FLATS,T,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,113,227
ADAMS,55001,5500107300,BIG FLATS,T,2019,SUPREME COURT,SCATTERING,SCATTERING,0,227
ADAMS,55001,5500107300,BIG FLATS,T,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,106,220
ADAMS,55001,5500107300,BIG FLATS,T,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,113,220
ADAMS,55001,5500107300,BIG FLATS,T,2020,SUPREME COURT,SCATTERING,SCATTERING,1,220
ADAMS,55001,5500107300,BIG FLATS,T,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,233,389
ADAMS,55001,5500107300,BIG FLATS,T,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,156,389
ADAMS,55001,5500107300,BIG FLATS,T,2023,SUPREME COURT,SCATTERING,SCATTERING,0,389
ADAMS,55001,5500107300,BIG FLATS,T,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,301,469
ADAMS,55001,5500107300,BIG FLATS,T,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,167,469
ADAMS,55001,5500107300,BIG FLATS,T,2025,SUPREME COURT,SCATTERING,SCATTERING,1,469
ADAMS,55001,5500107300,BIG FLATS,T,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,146,262
ADAMS,55001,5500107300,BIG FLATS,T,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,116,262
ADAMS,55001,5500107300,BIG FLATS,T,2026,SUPREME COURT,SCATTERING,SCATTERING,0,262
ADAMS,55001,5500116075,COLBURN,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,18,25
ADAMS,55001,5500116075,COLBURN,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,7,25
ADAMS,55001,5500116075,COLBURN,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,25
ADAMS,55001,5500116075,COLBURN,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",20,20
ADAMS,55001,5500116075,COLBURN,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,20
ADAMS,55001,5500116075,COLBURN,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,37,58
ADAMS,55001,5500116075,COLBURN,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,21,58
ADAMS,55001,5500116075,COLBURN,T,2003,SUPREME COURT,SCATTERING,SCATTERING,0,58
ADAMS,55001,5500116075,COLBURN,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,26,26
ADAMS,55001,5500116075,COLBURN,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,26
ADAMS,55001,5500116075,COLBURN,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,24,24
ADAMS,55001,5500116075,COLBURN,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,24
ADAMS,55001,5500116075,COLBURN,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,27,46
ADAMS,55001,5500116075,COLBURN,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,19,46
ADAMS,55001,5500116075,COLBURN,T,2007,SUPREME COURT,SCATTERING,SCATTERING,0,46
ADAMS,55001,5500116075,COLBURN,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,18,27
ADAMS,55001,5500116075,COLBURN,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,9,27
ADAMS,55001,5500116075,COLBURN,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,27
ADAMS,55001,5500116075,COLBURN,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,22,59
ADAMS,55001,5500116075,COLBURN,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,37,59
ADAMS,55001,5500116075,COLBURN,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,59
ADAMS,55001,5500116075,COLBURN,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",37,87
ADAMS,55001,5500116075,COLBURN,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,50,87
ADAMS,55001,5500116075,COLBURN,T,2011,SUPREME COURT,SCATTERING,SCATTERING,0,87
ADAMS,55001,5500116075,COLBURN,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,25,46
ADAMS,55001,5500116075,COLBURN,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,21,46
ADAMS,55001,5500116075,COLBURN,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,46
ADAMS,55001,5500116075,COLBURN,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,10,47
ADAMS,55001,5500116075,COLBURN,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,37,47
ADAMS,55001,5500116075,COLBURN,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,47
ADAMS,55001,5500116075,COLBURN,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,38,79
ADAMS,55001,5500116075,COLBURN,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,41,79
ADAMS,55001,5500116075,COLBURN,T,2016,SUPREME COURT,SCATTERING,SCATTERING,0,79
ADAMS,55001,5500116075,COLBURN,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,44,44
ADAMS,55001,5500116075,COLBURN,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,44
ADAMS,55001,5500116075,COLBURN,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,20,41
ADAMS,55001,5500116075,COLBURN,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,21,41
ADAMS,55001,5500116075,COLBURN,T,2018,SUPREME COURT,SCATTERING,SCATTERING,0,41
ADAMS,55001,5500116075,COLBURN,T,2019,SUPREME COURT,CONSERVATIVE,BRIAN HAGEDORN,20,38
ADAMS,55001,5500116075,COLBURN,T,2019,SUPREME COURT,LIBERAL,LISA NEUBAUER,18,38
ADAMS,55001,5500116075,COLBURN,T,2019,SUPREME COURT,SCATTERING,SCATTERING,0,38
ADAMS,55001,5500116075,COLBURN,T,2020,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,38,65
ADAMS,55001,5500116075,COLBURN,T,2020,SUPREME COURT,LIBERAL,JILL J. KAROFSKY,27,65
ADAMS,55001,5500116075,COLBURN,T,2020,SUPREME COURT,SCATTERING,SCATTERING,0,65
ADAMS,55001,5500116075,COLBURN,T,2023,SUPREME COURT,CONSERVATIVE,DANIEL KELLY,67,100
ADAMS,55001,5500116075,COLBURN,T,2023,SUPREME COURT,LIBERAL,JANET C. PROTASIEWICZ,32,100
ADAMS,55001,5500116075,COLBURN,T,2023,SUPREME COURT,SCATTERING,SCATTERING,1,100
ADAMS,55001,5500116075,COLBURN,T,2025,SUPREME COURT,CONSERVATIVE,BRAD SCHIMEL,87,123
ADAMS,55001,5500116075,COLBURN,T,2025,SUPREME COURT,LIBERAL,SUSAN CRAWFORD,36,123
ADAMS,55001,5500116075,COLBURN,T,2025,SUPREME COURT,SCATTERING,SCATTERING,0,123
ADAMS,55001,5500116075,COLBURN,T,2026,SUPREME COURT,CONSERVATIVE,MARIA S. LAZAR,31,51
ADAMS,55001,5500116075,COLBURN,T,2026,SUPREME COURT,LIBERAL,CHRIS TAYLOR,20,51
ADAMS,55001,5500116075,COLBURN,T,2026,SUPREME COURT,SCATTERING,SCATTERING,0,51
ADAMS,55001,5500119575,DELL PRAIRIE,T,2000,SUPREME COURT,CONSERVATIVE,DIANE S SYKES,109,158
ADAMS,55001,5500119575,DELL PRAIRIE,T,2000,SUPREME COURT,LIBERAL,LOUIS B BUTLER,49,158
ADAMS,55001,5500119575,DELL PRAIRIE,T,2000,SUPREME COURT,SCATTERING,SCATTERING,0,158
ADAMS,55001,5500119575,DELL PRAIRIE,T,2001,SUPREME COURT,CONSERVATIVE,"DAVID T PROSSER, JR.",127,127
ADAMS,55001,5500119575,DELL PRAIRIE,T,2001,SUPREME COURT,SCATTERING,SCATTERING,0,127
ADAMS,55001,5500119575,DELL PRAIRIE,T,2003,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,123,230
ADAMS,55001,5500119575,DELL PRAIRIE,T,2003,SUPREME COURT,LIBERAL,ED BRUNNER,105,230
ADAMS,55001,5500119575,DELL PRAIRIE,T,2003,SUPREME COURT,SCATTERING,SCATTERING,2,230
ADAMS,55001,5500119575,DELL PRAIRIE,T,2005,SUPREME COURT,LIBERAL,ANN W BRADLEY,166,166
ADAMS,55001,5500119575,DELL PRAIRIE,T,2005,SUPREME COURT,SCATTERING,SCATTERING,0,166
ADAMS,55001,5500119575,DELL PRAIRIE,T,2006,SUPREME COURT,CONSERVATIVE,PATRICK CROOKS,58,58
ADAMS,55001,5500119575,DELL PRAIRIE,T,2006,SUPREME COURT,SCATTERING,SCATTERING,0,58
ADAMS,55001,5500119575,DELL PRAIRIE,T,2007,SUPREME COURT,CONSERVATIVE,ANNETTE K ZIEGLER,266,469
ADAMS,55001,5500119575,DELL PRAIRIE,T,2007,SUPREME COURT,LIBERAL,LINDA M CLIFFORD,203,469
ADAMS,55001,5500119575,DELL PRAIRIE,T,2007,SUPREME COURT,SCATTERING,SCATTERING,0,469
ADAMS,55001,5500119575,DELL PRAIRIE,T,2008,SUPREME COURT,CONSERVATIVE,MIKE GABLEMAN,61,134
ADAMS,55001,5500119575,DELL PRAIRIE,T,2008,SUPREME COURT,LIBERAL,LOUIS BUTLER,73,134
ADAMS,55001,5500119575,DELL PRAIRIE,T,2008,SUPREME COURT,SCATTERING,SCATTERING,0,134
ADAMS,55001,5500119575,DELL PRAIRIE,T,2009,SUPREME COURT,CONSERVATIVE,RANDY R KOSCHNICK,123,337
ADAMS,55001,5500119575,DELL PRAIRIE,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,209,337
ADAMS,55001,5500119575,DELL PRAIRIE,T,2009,SUPREME COURT,SCATTERING,SCATTERING,5,337
ADAMS,55001,5500119575,DELL PRAIRIE,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",202,445
ADAMS,55001,5500119575,DELL PRAIRIE,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,243,445
ADAMS,55001,5500119575,DELL PRAIRIE,T,2011,SUPREME COURT,SCATTERING,SCATTERING,0,445
ADAMS,55001,5500119575,DELL PRAIRIE,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,120,198
ADAMS,55001,5500119575,DELL PRAIRIE,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,78,198
ADAMS,55001,5500119575,DELL PRAIRIE,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,198
